Departamento,NombreVacunatorio,Capacidad
Artigas,Artigas - Centro Tisiológico 1,30
Artigas,Artigas - Centro Tisiológico 2,30
Artigas,Bella Unión - Hospital ASSE 1,30
Artigas,Bella Unión - Hospital ASSE 2,30
Canelones,Canelones - CP Canelones 1,60
Canelones,Canelones - CP Canelones 2,60
Canelones,Polideportivo IMM Las Piedras 1,30
Canelones,Polideportivo IMM Las Piedras 2,30
Canelones,Pando - Hospital Pando 1,90
Canelones,Pando - Hospital Pando 2,90
Canelones,San Ramón - ASSE 1,60
Canelones,San Ramón - ASSE 2,60
Canelones,Canelones - COMECA,90
Canelones,Ciudad de la Costa - Centro Salud ASSE 1,60
Canelones,Ciudad de la Costa - Centro Salud ASSE 2,60
Canelones,Pando - CAAMEPA,90
Canelones,Sauce - Centro Cultural Casa de Artigas,60
Cerro Largo,Melo - UTU Gimnasio 1,60
Cerro Largo,Melo - UTU Gimnasio 2,60
Cerro Largo,Río Branco - Plaza de Deportes 1,60
Cerro Largo,Río Branco - Plaza de Deportes 2,60
Cerro Largo,Aceguá Policlínica ASSE,60
Cerro Largo,Fraile Muerto - Club Uruguay,60
Colonia,Colonia - Hospital Samuel Berton CHLA-EP 1,60
Colonia,Colonia - Hospital Samuel Berton CHLA-EP 2,60
Colonia,Carmelo - Hospital ASSE 1,90
Colonia,Carmelo - Hospital ASSE 2,90
Colonia,Rosario - Hospital ASSE CP Rosario 1,90
Colonia,Rosario - Hospital ASSE CP Rosario 2,90
Colonia,Nueva Palmira Centro Auxiliar ASSE,60
Colonia,Nueva Helvecia Centro Auxiliar ASSE,60
Colonia,Tarariras Policlinica Htal. Evangélico,90
Colonia,Juan Lacaze Sede secundaria CCOU,60
Durazno,Durazno - CP Durazno CHALEP 1,90
Durazno,Durazno - CP Durazno CHALEP 2,90
Durazno,Sarandí del Yí - Sub CP Sarandí del Yí CHLAEP 1,60
Durazno,Sarandí del Yí - Sub CP Sarandí del Yí CHLAEP 2,60
Flores,Trinidad - Plaza de Deportes 1,60
Flores,Trinidad - Plaza de Deportes 2,60
Florida,Florida - Hospital ASSE CP Florida CHLAEP 1,60
Florida,Florida - Hospital ASSE CP Florida CHLAEP 2,60
Florida,Florida - Policlínico COMEF,100
Florida,Sarandí Grande - Sub CP Sdi Grande - ASSE 1,60
Florida,Sarandí Grande - Sub CP Sdi Grande - ASSE 2,60
Florida,Casupá - Policlínica ASSE,60
Lavalleja,Minas - Estadio Municipal 1,60
Lavalleja,Minas - Estadio Municipal 2,60
Maldonado,Maldonado - CAMPUS Puesto 1,60
Maldonado,Maldonado - CAMPUS Puesto 2,60
Maldonado,Pan de Azúcar - Hospital Pan de Azúcar 1,90
Maldonado,Pan de Azúcar - Hospital Pan de Azúcar 2,90
Maldonado,Maldonado - CEDEMCAR,60
Montevideo,ANTEL ARENA 1,120
Montevideo,ANTEL ARENA 2,120
Montevideo,ANTEL ARENA 3,120
Montevideo,ANTEL ARENA 4,120
Montevideo,ANTEL ARENA 5,120
Montevideo,Asociación Española,120
Montevideo,Centro Salud Cerro,120
Montevideo,CASMU,120
Montevideo,Círculo Católico,90
Montevideo,COSEM Malvín,90
Montevideo,CUDAM,90
Montevideo,ED. PARQUE BATLLE - UDELAR 1,120
Montevideo,ED. PARQUE BATLLE - UDELAR 2,120
Montevideo,ED. PARQUE BATLLE - UDELAR 3,120
