Momento;Alto riesgo;Bajo riesgo (18-30);Bajo riesgo (31-50);Bajo riesgo (51-65)
1;41512;13204;20237;15282
2;45384;14315;22352;16656
3;46560;14947;22556;17143
4;44571;14362;22178;16292
5;48092;15502;24013;17872
6;40628;13089;19860;15150
7;46474;14790;22703;17240
8;48159;15746;23948;18011
9;44995;14472;22107;16452
10;45091;14441;22287;16507
11;10733;3390;0;697
12;0;0;0;0
13;0;0;0;0
14;165778;53125;87163;64422
15;51114;16188;25163;18855
16;45407;14378;22350;16519
17;46292;14932;22712;17128
18;47088;15182;22991;16901
19;44486;14439;22125;16724
20;42216;13845;21047;15749
21;48532;15476;24002;17889
22;48194;15245;23716;17645
23;44883;14578;0;5521
24;0;0;0;0
25;0;0;0;0
26;138072;43868;89719;62003
27;48749;15418;23995;17958
28;39929;12856;923;6510
29;0;0;0;0
30;0;0;0;0
