Momento;Agendados Totales;Alto riesgo;Bajo riesgo (18-30);Bajo riesgo (31-50);Bajo riesgo (51-65)
1;15457;5303;2668;4328;3158
2;9391;8102;1289;0;0
3;14234;6409;7825;0;0
4;19159;6574;4418;0;8167
5;19711;3519;2279;3704;10209
6;7622;7622;0;0;0
7;15275;4323;7424;0;3528
8;13083;5632;3429;0;4022
9;12444;6733;4290;0;1421
10;8274;7731;543;0;0
11;15920;8880;7040;0;0
12;20295;7506;7616;0;5173
13;7437;4325;2542;0;570
14;16953;8953;5445;0;2555
15;14252;3093;1903;0;9256
16;7354;7354;0;0;0
17;6346;6346;0;0;0
18;12283;8229;4054;0;0
19;23729;6263;13313;0;4153
20;20368;9635;5950;0;4783
21;10992;2448;1548;0;6996
22;5641;5641;0;0;0
23;15130;7973;7157;0;0
24;5210;5185;25;0;0
25;19697;9179;10019;0;499
26;9268;9268;0;0;0
27;13970;8205;5765;0;0
28;14588;6816;7772;0;0
29;20403;6619;5744;0;8040
30;24532;4121;2474;0;17937
