Momento;Agendados Totales;Alto riesgo;Bajo riesgo (18-30);Bajo riesgo (31-50);Bajo riesgo (51-65)
1;25911;7858;4910;7556;5587
2;32310;9684;6110;9472;7044
3;32975;10096;6269;9458;7152
4;29049;8812;5562;8507;6168
5;33579;10219;6339;9785;7236
6;32033;9793;6015;9334;6891
7;29437;8969;5458;8563;6447
8;28927;8755;5297;8491;6384
9;34220;10327;6349;9983;7561
10;28213;8531;5318;8202;6162
11;31206;9645;5780;9045;6736
12;26664;8006;4997;7786;5875
13;28405;8735;5442;8052;6176
14;30471;9180;5686;8984;6621
15;30743;9299;5692;9060;6692
16;28855;8755;5498;8374;6228
17;27718;8439;5205;8060;6014
18;28425;8680;5423;8181;6141
19;28366;8728;5290;8116;6232
20;31292;9467;5952;9038;6835
21;29330;8926;5461;8512;6431
22;29676;8965;5639;8647;6425
23;31892;9640;6073;9277;6902
24;30610;9295;5671;8984;6660
25;27446;8263;5103;8120;5960
26;35598;10822;6758;10240;7778
27;30886;9380;5801;9032;6673
28;27197;8151;5175;7880;5991
29;29386;8979;5512;8505;6390
30;26926;8151;5141;7719;5915
